QUESTIONS,ANSWERS
"Do you have resume templates I can use?

Do you have any resume/cover letter examples I can follow?
","
We have resume templates and guides available. We recommend checking our site in the link below to download the templates and see the guides:

https://www.njcu.edu/directories/offices-centers/center-career-and-professional-development

"
"What should I put on my resume if I don't have much work experience?

How can I describe my experiences?

What should I include in my resume?
","We can help you build a strong resume by highlighting the information you have and emphasizing what is most relevant to your case. Please schedule an appointment with our office through Handshake platform using the following link:

https://njcu.joinhandshake.com/stu/appointments/new

"
"Can you help me write a cover letter?

","
We have cover letter templates and guides available. We recommend checking our site in the link below to download the templates and see the guides:

https://www.njcu.edu/directories/offices-centers/center-career-and-professional-development

"
"I need to create a LinkedIn profile, but I don?t know how.

Please help me build a LinkedIn profile.

How can I use it?

Is LinkedIn useful for starting a job search?
","To learn how to build or update your LinkedIn profile, you can attend one of our events or schedule an appointment through Handshake.
"
"How can I look for a job?

Where should I start?

What platforms should I use to begin my job search?

What is the first step in looking for a job?
","We recommend starting with Handshake and creating a strong LinkedIn profile. Handshake is New Jersey City University's official job and internship platform, where thousands of employers are actively hiring students.

By filling in your career interests, you'll receive personalized job and event recommendations, as well as direct outreach from employers interested in students like you. In fact, 80% of students with a complete Handshake profile receive messages from employers!

Activate your account: app.joinhandshake.com

Download the Handshake app: Available on Apple and Google Play to stay updated on the latest jobs, events, and employers.

"
"When should I start looking
for a job?
","There is no specific time when you should or shouldn't start looking for an internship or job, but you can always begin by building your resume and LinkedIn profile.
"
"When should I start applying for summer internships?
","Applications for summer internships often open in the fall (September, November) for the following summer. Some opportunities remain open into the spring, but applying early is always better.
"
"How do I find internships?
","You can coordinate with your school's Career Office or start by preparing a resume and applying online. We also recommend attending our workshops and events, where you can learn effective job search strategies and connect with potential employers
"
"What is Handshake and how do I use it?

Can you give me more information about Handshake?

I don't have a Handshake account what should I do?","Handshake is New Jersey City University?s official job and internship platform, where thousands of employers actively hire students. By filling in your career interests, you?ll receive personalized job and event recommendations, along with direct outreach from employers interested in students like you. In fact, 80% of students with a complete Handshake profile are contacted by employers!

Activate your account: app.joinhandshake.com

Download the Handshake app: Available on Apple and Google Play to receive notifications about the latest jobs, events, and employer
"
"How can I prepare for an interview?

I don't know how to do an interview, can you help me with that?
","You can start by reviewing our official interview guidelines, available at the link below: 
https://www.njcu.edu/sites/default/files/docs/2024-08/Interview%20Guide%20-%20NJCU%20Center%20for%20Career%20and%20Professional%20Development.pdf

Additionally, you can attend our workshops or schedule a meeting with one of our team members for personalized support.
"
"Can you advise me on OPT or CPT for internships?

","We collaborate with companies that hire students on CPT or OPT, and we encourage you to connect with them during our job and internship fairs and events.
"
"Do employers hire international students through Handshake?
","Yes, there are companies that offer CPT and OPT opportunities for international students.
"
"Where can I get help with 
visa-related questions?
","For visa-related questions, we recommend contacting the International Office.
"
"Do you have open positions to 
work on campus?

Am I eligible for campus 
emplyment?

Where can I find campus job 
opportunities?

How do I apply for campus 
employment?

What types of campus jobs are available?

","There are two types of positions on campus. Federal Work Study is an 
option that is built into your financial aid package, should you qualify. 
You can check your financial aid award to see. If you do, please contact the Office of Financial Aid where the federal work study program is managed.  Student Assistants are another option for working on campus. 
Those positions are posted on Handshake under ""New Jersey City 
University"" as the employer. "
"Do I need work authorization for 
campus jobs if I am an 
international student?","For work authorization questions related to international students, we recommend contacting the International Office.
"
"What if I don't know what I want to do for work?

I'm no longer sure that I want to stay in the same major. (?)

I'm really unsure about the future. (?)","You can start by visiting our site for more information: https://www.njcu.edu/directories/offices-centers/center-career-and-professional-development
Also consider FOCUS2, which is an online, interactive, self-guided career and education planning system.
FOCUS 2 engages and guides you through career & academic (your major) decision making to help you choose programs offered at NJCU, explore occupations & make career decisions that align with your values, skills and interests.
Access Code: gothicknights"
,
,
,
,
,
,"
"
